store_intent,Question,Answer,Intent
store_timings,What time does H&M open?,H&M is open from 10 AM to 10 PM.,general_faq
store_timings,When does Pantaloons close?,Pantaloons closes at 10 PM.,general_faq
store_timings,Tell me the opening hours of Lifestyle,Lifestyle is open from 10 AM to 10 PM,general_faq
store_timings,Can you tell me Levi’s store timings?,Levi’s operates between 10 AM – 10 PM.,store_info
store_timings,At what time does Raymond Shop start?,Raymond Shop opens at 10 AM.,store_info
store_timings,What are the working hours of Westside?,Westside is open from 10 AM – 10 PM.,general_faq
store_timings,Mall timings for Unlimited Fashion?,Unlimited Fashion runs 10 AM – 10 PM.,general_faq
store_timings,Until what time is Spar open?,Spar is open till 10 PM.,general_faq
store_discount,What offers are available at H&M?,H&M is running a Seasonal Sale (30–50%).,general_faq
store_discount,Is there any discount in Pantaloons?,Pantaloons has Flat 40% on selected items.,store_discount
store_discount,Tell me the ongoing sale in Lifestyle.,Lifestyle has Upto 50% Off right now.,store_discount
store_discount,Do you have promotions in Max?,Max is offering Buy 2 Get 1 Free,general_faq
store_discount,Any deals happening in Westside?,Westside has Upto 50% Off on collections.,general_faq
store_discount,Are there any special deals in Levi’s?,Let me check Levi’s offers.,general_faq
store_discount,Do you know the discount percentage in H&M?,Max is running Buy 2 Get 1 Free.,store_discount
store_discount,Is Max giving any Buy 1 Get 1 offer?,"yes,they provide",store_discount
store_info,Tell me about H&M.,H&M offers the latest Western wear.,general_faq
store_info,What is Pantaloons?,Pantaloons is a Fashion & Apparel store.,general_faq
store_info,Can you give details of Lifestyle?,"Yes, Lifestyle is a Fashion & Apparel brand.",general_faq
store_info,Where is the H&M store located?,H&M is on the first floor near the food court.,store_info
store_info,Is there a kids clothing section?,"Van Heusen, Raymond, and Peter England offer formal clothing.",general_faq
store_info,What type of products does Westside sell?,"Yes, Kids Ville and Fame Forever specialize in kids clothing.",store_category
store_info,Describe Reliance Trends,Reliance Trends is a Fashion & Apparel store with festive collections.,general_faq
store_info,What can I find in Van Heusen?,Van Heusen has the latest Western wear in Fashion & Apparel.,general_faq
store_info,Which category does Pantaloons belong to?,Pantaloons belongs to Fashion & Apparel.,store_category
store_info,Do you know about Lifestyle store?,"Yes, Lifestyle is a Fashion & Apparel brand.",store_info
store_info,What’s special in Reliance Trends?,What’s special in Reliance Trends?,general_faq
store_info,What brand is H&M?,H&M is a Fashion & Apparel brand known for latest Western wear.,store_info
parking_info,Where can I park my car in the mall?,Parking is available in the underground,general_faq
parking_info,Do you have two-wheeler parking?,"Yes, two-wheeler parking is available near the entrance.",parking_info
parking_info,Is there parking for four-wheelers?,"Yes, we have spacious car parking in the basement.",parking_info
parking_info,Where is the parking lot located?,The parking lot is located in the basement of the mall.,parking_info
parking_info,Is parking free here?,"Parking is available, charges may apply depending on duration.",parking_info
parking_info,How much is the parking fee?,Parking charges depend on vehicle type and time duration.,parking_info
parking_info,what is minimum charge for vehicle?,for car 50 and bike 20,general_faq
parking_info,Where do I park my vehicle in this mall?,You can park your vehicle in the basement parking area.,general_faq
parking_info,Is valet parking available?,"Yes, valet parking service is available at the main entrance.",parking_info
parking_info,Can I park near the food court side?,"parking near the food court is not possible,so please use basement parking.",restaurant_info
parking_info,Do you have dedicated parking for families/disabled?,"Yes, special parking spots are available near the mall entrance.",parking_info
lift_info,Is there a lift in the mall?,"Yes, lifts are available for easy access across all floors.",lift_info
lift_info,Do you have elevators here?,"Yes, we have elevators on each side of the mall.",general_faq
lift_info,Where is the lift located?,The lifts are located near the central atrium and entrances.,lift_info
lift_info,Can I use the lift to reach the first floor?,"Yes, the lift will take you to all floors including the first floor.",restaurant_location
lift_info,Is there a lift for disabled persons?,"Yes, we have lifts that are wheelchair-friendly.",lift_info
lift_info,Are lifts available near the parking area?,"Yes, lifts connect the parking basement to the main floors.",parking_info
lift_info,Is the lift working right now?,"Yes, all lifts are operational during mall hours.",lift_info
lift_info,Is there a separate lift for staff?,"Yes, we have lifts that are wheelchair-friendly.",lift_info
lift_info,total number of lift in mall,more than 20 lift that are operated in the mall,lift_info
escalator_info,Is there an escalator in the mall?,"Yes, escalators are available on all main floors.",escalator_info
escalator_info,Do you have moving stairs?,"Yes, escalators are provided for easy floor access.",general_faq
escalator_info,Is there an escalator working now?,"Yes, all escalators are operational during mall hours.",escalator_info
escalator_info,How many escalators are there?,The mall has multiple escalators for visitor convenience.,general_faq
escalator_info,Is the escalator safe for kids and elders?,"Yes, escalators are safe, but lifts are also available for comfort.",escalator_info
escalator_info,Is there an escalator near the food court?,Escalators are near the central atrium and entrances.,restaurant_info
escalator_info,Where is the escalator located?,The mall has multiple escalators for visitor convenience.,escalator_info
escalator_info,How many escalators are there?,there  are so many escalators in the mall ,general_faq
escalator_info,Do you have separate up and down escalators?,"Yes, we have both upward and downward escalators.",general_faq
